County,Location,Address,Latitude,Longitude
Prince George's,Westphalia Community Center,"8900 Westphalia Road, Upper Marlboro, MD 20774",38.844402,-76.853539
Queen Anne's,GO MART,"741 Main Street, Church Hill, MD 21623",39.15252,-75.980156
Queen Anne's,Kent Island Fire Department,"1610 Main Street, Chester, MD 21619",38.977585,-76.288095
Queen Anne's,"Queen Anne’s Office Building, Conference Room","110 Vincit Street, Centreville, MD 21617",39.037886,-76.057751
Somerset,"Somerset Board of Elections, Somerset County Office Comple","11916 Somerset Avenue, Princess Anne, MD 21853",38.208598,-75.69551
Somerset,Somerset County Technical High School,"7994 Tawes Campus Road, Westover, MD 21871",38.100864,-75.717459
Somerset,Woodson Elementary School,"281 Woodson School Road, Crisfield, MD 21817",37.974478,-75.849071
St. Mary's,Bay District Firehouse,"46900 S. Shangri-La Drive, Lexington Park, MD 20653",38.262247,-76.455504
St. Mary's,Great Mills High School,"21130 Great Mills Road, Great Mills, MD 20634",38.247439,-76.487577
St. Mary's,Hollywood Firehouse,"24801 Three Notch Road, Hollywood, MD 20636",38.348819,-76.576363
St. Mary's,Mechanicsville Firehouse,"28165 Hills Club Road, Mechanicsville, MD 20659",38.442245,-76.741411
St. Mary's,Spring Ridge Middle School,"19856 Three Notch Road, Lexington Park, MD 20653",38.212127,-76.401331
St. Mary's,St. Mary's County Board of Elections,"23250 Hollywood Road, Leonardtown, MD 20650",38.306795,-76.63122
St. Mary's,Valley Lee Fire House,"45245 Drayden Road, Valley Lee, MD 20692",38.190731,-76.511283
Talbot,"Easton Fire House, Bingo Hall","315 Aurora Park Drive, Easton, MD 21601",38.78041,-76.073189
Talbot,Talbot County Election Office Government Building,"215 Bay Street, Easton, MD 20601",38.778855,-76.080548
Washington,Boonsboro Town Hall,"21 N. Main Street, Boonsboro, MD 21713",39.507098,-77.651893
Washington,Clear Spring Town Hall,"146 Cumberland Street, Clear Spring, MD 21722",39.656584,-77.929895
Washington,Hancock Town Hall,"126 W. High Street, Hancock, MD 21750",39.700891,-78.182089
Washington,Keedysville Town Hall,"19 S. Main Street, Keedysville, MD 21756",39.486845,-77.700975
Washington,Smithsburg Town Hall,"21 W. Water Street, Smithsburg, MD 21783",39.653396,-77.574986
Washington,Washington County Election Center,"17718 Virginia Avenue, Hagerstown, MD 21740",39.623307,-77.755098
Washington,Washington County Free Library,"100 S. Potomac Street, Hagerstown, MD 21740",39.640101,-77.721188
Washington,Williamsport Town Hall,"2 N. Conococheague Street, Williamsport, MD 21795",39.599345,-77.821577
Wicomico,First Baptist Church,"528 Booth Street, Salisbury, MD 21801",38.37721,-75.604925
Wicomico,Wicomico Board of Elections,"345 Snow Hill Road, Salisbury, MD 21804",38.361193,-75.589955
Wicomico,Wicomico County Youth and Civic Center,"500 Glen Avenue, Salisbury, MD 21804",38.361055,-75.575576
Worcester,Pocomoke Community Center,"1410 Market Street, Pocomoke City, MD 21851",38.064294,-75.554017
Worcester,Roland E. Powell Convention Center,"4001 Coastal Highway, Ocean City, MD 21842",38.36806,-75.074153
Worcester,Worcester County Board of Elections,"201 Belt Street, Suite C, Snow Hill, MD 21863",38.173992,-75.387757
