County,Location,Address,Latitude,Longitude
Baltimore City,Mount Pleasant Church & Ministries,"6000 Radecke Avenue, Baltimore, MD 21206",39.332472,-76.529688
Baltimore City,Northwestern High School,"6900 Park Heights Avenue, Baltimore, MD 21215",39.364379,-76.704245
Baltimore City,Patterson High School (No. 405),"100 Kane Street, Baltimore, MD 21224",39.292602,-76.536417
Baltimore City,Paul Lawrence Dunbar High School (No. 414),"1400 Orleans Street, Baltimore, MD 21231",39.295308,-76.598734
Baltimore City,Pimlico Elementary School,"4849 Pimlico Road, Baltimore, MD 21215",39.347697,-76.667813
Baltimore City,Public Safety Training Center,"3500 W. Northern Parkway, Baltimore, MD 21215",39.353311,-76.683549
Baltimore City,Reach! Partnership,"2555 Harford Road, Baltimore, MD 21218",39.317553,-76.593597
Baltimore City,Renaissance Academy,"1301 McCulloh Street, Baltimore, MD 21217",39.302897,-76.627866
Baltimore City,Southeast Anchor Library,"3601 Eastern Avenue, Baltimore, MD 21224",39.286455,-76.566681
Baltimore City,Violetteville Elementary/Middle School (No. 226),"1207 Pine Heights Avenue, Baltimore, MD 21229",39.267787,-76.674048
Baltimore City,Western High School (No. 407),"4600 Falls Road, Baltimore, MD 21209",39.347056,-76.642586
Baltimore City,Westside Skill Center,"4501 Edmondson Avenue, Baltimore, MD 21229",39.293143,-76.691051
Baltimore Count,Arbutus Recreation Center,"865 Sulphur Spring Road, Halethorpe, MD 21227",39.24295,-76.71053
Baltimore Count,Baltimore County Board of Elections,"5 Crossing Way, Owing Mills, MD 21117",39.419651,-76.812851
Baltimore Count,Baltimore County Board of Elections Office (former),"11112 Gilroy Road, Hunt Valley, MD 21031",39.487152,-76.665057
Baltimore Count,Catonsville High School,"421 Bloomsbury Avenue, Baltimore, MD 21228",39.259472,-76.731075
Baltimore Count,Catonsville Middle School,"2301 Edmondson Avenue, Baltimore, MD 21228",39.275947,-76.771401
Baltimore Count,County Campus Metro Centre at Owings Mills,"10302 Grand Central Avenue, Owings Mills, MD 21117",39.407103,-76.781882
Baltimore Count,Deep Creek Middle School,"1000 S. Marlyn Avenue, Baltimore, MD 21221",39.293365,-76.454672
Baltimore Count,Dulaney High School,"255 East Padonia Road, Lutherville-Timonium, MD 21093",39.460977,-76.61212
Baltimore Count,Eastern Technical High School,"1100 Mace Avenue, Essex, MD 21221",39.325156,-76.472655
Baltimore Count,Fifth District Elementary School,"3725 Mt. Carmel Road, Upperco, MD 21155",39.600861,-76.777302
Baltimore Count,Franklin High School,"12000 Reisterstown Road, Reisterstown, MD 21136",39.448235,-76.817338
Baltimore Count,Hereford High School,"17301 York Road, Parkton, MD 21120",39.599292,-76.659609
Baltimore Count,Honeygo Run Community Center,"9033 Honeygo Boulevard, Perry Hall, MD 21128",39.396134,-76.451028
Baltimore Count,Jacksonville Recreation Center at Sweet Air Park,"3605 B Sweet Air Road, Phoenix, Maryland 21131",39.513339,-76.555231
Baltimore Count,Kingsville Elementary School,"7300 Sunshine Avenue, Kingsville, MD 21087",39.456414,-76.418827
Baltimore Count,Loch Raven High School,"1212 Cowpens Avenue, Baltimore, MD 21286",39.404878,-76.5638
Baltimore Count,Milford Mill Academy,"3800 Washington Avenue, Baltimore, MD 21244",39.356352,-76.750019
Baltimore Count,Millbrook Elementary School,"4300 Crest Heights Road, Baltimore, MD 21215",39.359382,-76.712453
Baltimore Count,New Town High School,"4931 New Town Boulevard, Owings Mills, MD 21117",39.403328,-76.812349
Baltimore Count,Northwest Academy of Health Sciences,"4627 Old Court Rd, Baltimore, MD 21208",39.365238,-76.756853
Baltimore Count,Oregon Ridge Lodge,"13401 Beaver Dam Road, Cockeysville, MD 21030",39.491442,-76.683106
Baltimore Count,Overlea High School,"5401 Kenwood Avenue, Baltimore, MD 21206",39.348039,-76.511657
Baltimore Count,Padonia International Elementary School,"9834 Greenside Drive, Cockeysville, MD 21030",39.461588,-76.631554
Baltimore Count,Parkville High School,"2600 Putty Hill Avenue, Baltimore, MD 21234",39.388859,-76.539576
Baltimore Count,Perry Hall High School,"4601 Ebenezer Road, Nottingham, MD 21236",39.392703,-76.464512
Baltimore Count,Pikesville High School,"7621 Labyrinth Road, Pikesville, MD 21208",39.377443,-76.698631
Baltimore Count,Randallstown Community Center,"3505 Resource Drive, Randallstown, MD 21133",39.362205,-76.788488
Baltimore Count,Randallstown High School,"4000 Offutt Road, Randallstown, MD 21133",39.382754,-76.79699
Baltimore Count,Reisterstown Senior Center at Hannah More Campus,"12035 Reisterstown Road, Reisterstown, MD 21136",39.451221,-76.817951
Baltimore Count,Sollers Point Multi-Purpose Center,"323 Sollers Point Road, Dundalk, Maryland 21222",39.24363,-76.50882
Baltimore Count,Towson High School,"69 Cedar Avenue, Towson, MD 21286",39.390673,-76.600568
Baltimore Count,Towson University South Campus Pavilion,"1 Auburn Drive, Towson, MD 21204",39.407156,-76.60379
Baltimore Count,University of Maryland Baltimore Campus - The Commons,"1000 Hilltop Circle, Baltimore, MD 21250",39.257616,-76.710935
Baltimore Count,Victory Villa Community Center,"404 Compass Road East, Middle River, MD 21220",39.33723,-76.456496
Baltimore Count,Woodlawn Community Center,"2120 Gwynn Oak Avenue, Woodlawn, Maryland 21207",39.322862,-76.726
Baltimore Count,Woodlawn High School,"1801 Woodlawn Drive, Woodlawn, MD 21207",39.315715,-76.735121
Calvert,Calvert County Board of Elections,"30 Duke Street, Prince Frederick, MD 20678",38.536727,-76.584851
Calvert,Fairview Library,"8120 Southern Maryland Boulevard, Owings 20736",38.691446,-76.640409
Calvert,Northeast Community Center,"4075 Gordon Stinnett Avenue, Chesapeake Beach, MD 20732",38.691345,-76.535675
Calvert,Southern Community Center,"20 Appeal Lane, Lusby, MD 20657",38.380746,-76.43698
Caroline,Caroline County Health & Public Services Building,"403 S. 7th Street, Denton, MD 21629",38.880082,-75.827001
Caroline,Federalsburg Municipal Parking Lot,"Morris Avenue, Federalsburg, MD 21632",38.694973,-75.774325
Caroline,Goldsboro Volunteer Fire Department Parking Lot,"700 Old Line Road, Goldsboro, MD 21636",39.039627,-75.78861
Carroll,Carroll County Board of Elections Office,"300 S. Center Street, Westminster MD 21157",39.56681,-76.996608
Carroll,Coppermine Pantherplex,"1400 Panther Drive, Hampstead, MD 21074",39.609988,-76.861121
Carroll,Mt. Airy Senior Center,"703 Ridge Avenue, Mount Airy, MD 21771",39.369307,-77.154521
Carroll,South Carroll Senior Center,"5928 Mineral Hill Road, Sykesville, MD 21784",39.409698,-76.905412
Carroll,Taneytown Senior Center,"220 Roberts Mill Road, Taneytown, MD 21787",39.657892,-77.171023
Carroll,Westminster Senior Center,"125 Stoner Avenue, Westminster, MD 21157",39.562033,-76.99072
Cecil,Bohemia Manor High School,"2755 Augustine Herman Hwy, Chesapeake City, MD 21915",39.510895,-75.830994
Cecil,Cecil County Administration Building,"200 Chesapeake Boulevard, Elkton MD 2192",39.597972,-75.785569
Cecil,North East Middle School,"200 E. Cecil Avenue, North East, MD 21901",39.600553,-75.939308
Cecil,Perryville Middle School,"850 Aiken Avenue, Perryville,  MD 21903",39.569078,-76.069403
Cecil,Rising Sun Middle School,"289 Pearl Street, Rising Sun, MD 21911",39.701292,-76.066142
Charles,Charles County Board of Elections,"201 East Charles Street, La Plata, MD 20646",38.529289,-76.979551
Charles,Henry E. Lackey High School,"3000 Chicamuxen Road, Indian Head, MD 20640",38.579408,-77.127621
Charles,St. Joseph's Parish Center,"4605 St. Joseph's Way, Pomfret, MD 20675",38.585574,-77.024791
Charles,Thomas Stone High School,"3785 Leonardtown Road, Waldorf, MD 20601",38.614563,-76.886345
Charles,Waldorf Jaycees,"3090 Leonardtown Road, Waldorf, MD 20601",38.624917,-76.908545
Charles,Westlake High School,"3300 Middletown Road, Waldorf, MD 20603",38.622045,-76.96704
Dorchester,Dorchester County Board of Elections,"1000 Goodwill Avenue, Cambridge, MD 21613",38.559695,-76.072878
Dorchester,Town of Hurlock Veterans Memorial Park,"204 South Main Street, Hurlock, MD 21643",38.632776,-75.863184
Frederick,Brunswick Middle School,"301 Cummings Drive, Brunswick, MD 21716",39.314758,-77.603952
Frederick,Crestwood Middle School,"7100 Foxcroft Drive, Frederick, MD 21703",39.39352,-77.422685
Frederick,Frederick County Board of Elections Office,"8490 Progress Drive, Federick, MD 21701",39.440146,-77.371978
Frederick,Frederick Prospect Center,"585 Himes Avenue, Frederick, MD 21703",39.410179,-77.437841
Frederick,Middletown VFD Activities Building,"1 Fireman's Lane, Middletown, Md 21769",39.438851,-77.541831
Frederick,Oakdale High School,"5850 Eaglehead Drive, Ijamsville, MD 21754",39.394757,-77.310361
Frederick,Thurmont Regional Library,"76 E. Moser Road, Thurmont, MD 21788",39.61294,-77.412145
Frederick,Urbana Regional Library,"9020 Amelung Street, Frederick, MD 21704",39.331418,-77.354079
Frederick,Waverley Elementary School,"201 Waverley Drive, Frederick, MD 21702",39.427637,-77.461096
Frederick,William R. Talley Recreation Center,"121 N. Bentz Street, Frederick, MD 21701",39.416666,-77.414613
Garrett,Grantsville Volunteer Fire Department,"178 Springs Road, Grantsville MD 21536",39.701636,-79.160709
Garrett,Oakland Community Center,"14 N. 8th Street, Oakland, MD 21550",39.408064,-79.39967
Harford,Aberdeen Senior Center,"7 Franklin Street, Aberdeen, MD 21001",39.512106,-76.163212
Harford,Edgewood Recreation Center,"1980 Brookside Drive, Edgewood, MD 21040",39.433645,-76.310075
Harford,Harford County Board of Elections,"133 Industry Lane, Forest Hill, MD 21050",39.576573,-76.371356
Harford,Jarrettsville Volunteer Fire Company,"3825 Federal Hill Road, Jarrettsville, MD 21084",39.614184,-76.476327
Harford,McFaul Activity Center,"525 W. MacPhail Road, Bel Air, MD 21014",39.522645,-76.343884
Howard,Bain 50+ Center,"5470 Ruth Keeton Way, Columbia, MD 21044",39.223422,-76.888207
Howard,Elkridge 50+ Center,"6540 Washington Boulevard, Elkridge, MD 21075",39.201418,-76.736287
Howard,Gary J Arthur Community Center,"2400 Route 97, Cooksville, MD 21723",39.305287,-77.02292
Howard,George Howard Building,"3430 Courthouse Drive, Ellicott City, MD 21043",39.27562,-76.805979
Howard,Howard County Board of Elections,"9770 Patuxent Woods Drive, Suite 200, Columbia, MD 21046",39.177154,-76.8525
Howard,Howard County Scaggsville Police Department,"11226 Scaggsville Road, Laurel, MD 20723",39.146377,-76.901619
Howard,Meadowbrook Athletic Complex,"5001 Meadowbrook Lane, Ellicott City, MD 21043",39.248948,-76.822028
Howard,North Laurel Community Center,"9411 Whiskey Bottom Road, Laurel, MD 20723",39.116157,-76.836139
Howard,St. John Baptist Church,"9055 Tamar Drive, Columbia, MD 21045",39.209765,-76.823243
Howard,West Friendship Volunteer Fire Department,"12535 Old Frederick Road, Sykesville, MD 21784",39.319016,-76.948312
Kent,Galena Volunteer Fire Company,"90 E. Cross Street, Galena, MD 21635",39.342002,-75.872339
Kent,Kent County Public Library,"408 High Street, Chestertown, MD 21620",39.211062,-76.069049
Kent,Rock Hall Fire Department,"21500 Rock Hall Avenue, Rock Hall, MD 21661",39.140074,-76.22746
Montgomery,Activity Center at Bohrer Park,"506 So. Frederick Avenue, Gaithersburg, MD 20877",39.133254,-77.194809
Montgomery,Albert Einstein High School,"11135 Newport Mill Road, Kensington, MD 20895",39.039216,-77.067123
Montgomery,Asbury Methodist Village (Rosborough Center),"409 Russell Avenue, Gaithersburg, MD 20877",39.150066,-77.196544
Montgomery,Bauer Drive Community Recreation Center,"14625 Bauer Drive, Rockville, MD 20853",39.094291,-77.108461
Montgomery,Bethesda-Chevy Chase High School,"4301 East-West Highway, Bethesda, MD 20814",38.986641,-77.088889
Montgomery,Bette Carol Thompson Scotland Neighborhood Rec Center,"7700 Scotland Drive, Potomac, MD 20854",39.031327,-77.158725
Montgomery,Clarksburg High School,"22500 Wims Road, Clarksburg, MD 20871",39.225752,-77.266115
Montgomery,Col. Zadok Magruder High School,"5939 Muncaster Mill Road, Rockville, MD 20855",39.131386,-77.118305
Montgomery,Damascus Community Recreation Center,"25520 Oak Drive, Damascus, MD 20872",39.277246,-77.215232
Montgomery,Damascus High School,"25921 Ridge Road, Damascus, MD 20872",39.282152,-77.210339
Montgomery,East County Community Recreation Center,"3310 Gateshead Manor Way, Silver Spring, MD 20904",39.078634,-76.941661
Montgomery,Executive Office Building,"101 Monroe Street, Rockville, MD 20850",39.08304,-77.149407
Montgomery,Forest Knolls Elementary School,"10830 Eastwood Ave, Silver Spring, MD 20901 (replaces Northwod High School)",0,0
Montgomery,Friendship Heights Village Center,"4433 South Park Avenue, Chevy Chase, MD 20815",38.963833,-77.089017
Montgomery,Gaithersburg High School,"101 Education Boulevard, Gaithersburg, MD 20877",39.136073,-77.19489
Montgomery,Germantown Community Recreation Center,"18905 Kingsview Road, Germantown, MD 20874",39.165193,-77.285487
Montgomery,Gwendolyn E. Coffield Community Recreation Center,"2450 Lyttonsville Road, Silver Spring, MD 20910",38.998669,-77.050871
Montgomery,James Hubert Blake High School,"300 Norwood Road, Silver Spring, MD 20905",39.113365,-77.017582
Montgomery,Jane E. Lawton Community Recreation Center,"4301 Willow Lane, Chevy Chase, MD 20815",38.982529,-77.088212
Montgomery,John F. Kennedy High School,"1901 Randolph Road, Silver Spring, MD 20902",39.065721,-77.038979
Montgomery,Leisure World – Clubhouse I,"3700 Rossmoor Boulevard, Silver Spring, MD 20906",39.101493,-77.072542
Montgomery,Longwood Community Recreation Center,"19300 Georgia Avenue, Brookeville, MD 20833",39.174691,-77.061056
Montgomery,Margaret Schweinhaut Senior Center,"1000 Forest Glen Road, Silver Spring, MD 20901",39.017496,-77.026231
Montgomery,Marilyn J. Praisner Community Recreation Center,"14906 Old Columbia Pike, Burtonsville, MD 20866",39.101833,-76.94183
Montgomery,Mid-County Community Recreation Center,"2004 Queensguard Road, Silver Spring, MD 20906",39.086908,-77.043057
Montgomery,Montgomery Blair High School,"51 University Boulevard East, Silver Spring, MD 20901",39.018224,-77.011797
Montgomery,Montgomery College - Germantown: Bioscience Education C,"20200 Observation Drive, Germantown, MD 20876",39.185216,-77.24838
Montgomery,Montgomery College - Rockville: Student Services Center,"51 Mannakee St. Rockville, MD 20850",39.09701,-77.159592
Montgomery,Montgomery College - Takoma Park: Student Services Center,"7625 Fenton Street, Takoma Park, MD",38.985131,-77.022442
